gsis_id,season,games,att,cmp,yds,td,int,epa,passing_air_yards,passing_yards_after_catch,passing_first_downs,pacr,dakota,sacks,sack_yards,passing_2pt_conversions
00-0019682,2001,1,12,7,73.0,0,0.0,1.5704100565753225,0.0,0.0,5.0,0.0,0.04844863681248161,1.0,6.0,0
00-0019682,2003,1,9,4,41.0,0,1.0,-5.1056905802106485,0.0,0.0,3.0,0.0,0.033464631100124494,0.0,0.0,0
00-0019709,2000,1,3,2,19.0,0,0.0,-2.072561442829096,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0019709,2002,6,182,97,1034.0,7,3.0,-19.836973515104425,0.0,0.0,49.0,0.0,0.43750035430249257,11.0,68.0,0
00-0019709,2003,2,13,7,58.0,0,2.0,-19.91077481555752,0.0,0.0,4.0,0.0,0.05395049068176075,6.0,45.0,0
00-0019709,2007,6,149,89,1079.0,10,5.0,-11.422329389726187,1014.0,510.0,48.0,6.873227632939786,0.28467602589030083,9.0,51.0,0
00-0019709,2009,5,119,69,781.0,4,3.0,0.7165102831004582,986.0,348.0,40.0,2.4937121536542852,0.19029791414441183,8.0,34.0,0
00-0019709,2010,1,6,4,20.0,0,0.0,-3.054808806977235,9.0,15.0,1.0,2.2222222222222223,0.003788758299615329,0.0,0.0,0
00-0019709,2011,4,28,18,188.0,0,1.0,-8.572181781521067,229.0,68.0,10.0,2.9158210652682124,0.3469889214489627,0.0,0.0,0
00-0019714,2011,3,3,1,35.0,1,0.0,-0.518233745067846,40.0,30.0,1.0,7.0,0.0,0.0,0.0,0
00-0019714,2012,2,1,1,4.0,0,0.0,-1.8331251109484583,1.0,3.0,0.0,4.0,0.0,0.0,0.0,0
00-0019714,2014,1,1,1,10.0,0,0.0,2.7922356287017465,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0
00-0019726,2000,14,1,1,31.0,0,0.0,2.021020835847594,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0019764,2002,6,51,18,207.0,3,5.0,-37.042685423897844,0.0,0.0,9.0,0.0,0.12852915574930995,4.0,20.0,0
00-0019794,2003,10,1,1,37.0,0,0.0,2.6805494623840787,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0019816,2003,7,177,95,1012.0,5,7.0,-25.228326395731436,0.0,0.0,53.0,0.0,0.6094332785918777,9.0,44.0,0
00-0019976,2003,9,1,1,14.0,0,0.0,2.125778593996074,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0019976,2004,15,1,1,26.0,1,0.0,3.888573030126281,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
00-0019976,2005,13,1,0,0.0,0,0.0,-0.38747978396713734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0020245,2001,8,113,50,785.0,2,3.0,-44.9538732979145,0.0,0.0,34.0,0.0,0.35264040136125246,21.0,113.0,0
00-0020245,2002,15,421,231,2936.0,16,8.0,33.615713160062654,0.0,0.0,139.0,0.0,1.789067889099876,33.0,206.0,0
00-0020245,2003,5,100,50,585.0,4,3.0,-13.321301518977881,0.0,0.0,32.0,0.0,0.5405979421463617,9.0,64.0,0
00-0020245,2004,15,321,181,2313.0,14,12.0,-71.01689360313296,0.0,0.0,103.0,0.0,1.5390225515742206,45.0,261.0,0
00-0020245,2005,15,387,214,2412.0,15,13.0,-15.182438035430152,0.0,0.0,126.0,0.0,1.4360266201315304,34.0,210.0,1
00-0020245,2006,16,389,205,2474.0,20,13.0,-66.99131294279393,4463.0,880.0,123.0,9.507974269205915,1.0008265915432712,45.0,303.0,0
00-0020245,2009,12,13,6,86.0,1,0.0,3.270934095606208,152.0,13.0,3.0,3.185872869036606,0.0,0.0,0.0,0
00-0020245,2010,12,372,233,3018.0,21,6.0,66.24013266749661,3419.0,1332.0,131.0,11.733102069885852,1.9980197488146627,35.0,211.0,1
00-0020245,2011,13,423,253,3303.0,18,14.0,49.776743787846485,3878.0,1332.0,155.0,11.694096732007154,1.6472916485920246,23.0,126.0,0
00-0020245,2012,10,351,204,2362.0,12,10.0,-2.25061192759998,3111.0,1004.0,114.0,9.447139826030135,0.8708160740617373,28.0,153.0,0
00-0020245,2013,7,141,77,1215.0,5,3.0,1.8382312890962522,1531.0,571.0,51.0,4.904492707838957,0.5591774237028886,15.0,99.0,0
00-0020245,2014,9,121,64,604.0,3,2.0,-48.4193069326558,1055.0,250.0,33.0,2.916215600944716,0.04312914913277083,19.0,85.0,0
00-0020245,2015,5,66,40,371.0,2,1.0,-30.644706980810334,631.0,193.0,14.0,3.188251788439054,0.10546482979864623,10.0,53.0,0
00-0020267,2003,1,1,0,0.0,0,0.0,-2.9101038868539035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
00-0020305,2001,1,14,10,143.0,2,1.0,10.107295753698262,0.0,0.0,8.0,0.0,0.28012206967272063,0.0,0.0,0
00-0020305,2002,6,154,86,1011.0,6,5.0,4.218718046445187,0.0,0.0,44.0,0.0,0.253066256757217,7.0,48.0,0
00-0020305,2004,11,356,191,1893.0,11,15.0,-80.57842111483723,0.0,0.0,101.0,0.0,0.3265860089911288,23.0,136.0,2
