gsis_id,season,games_played,att_mean,att_std,epa_mean,epa_std,epa_per_att_mean,epa_per_att_std,ypa_mean,ypa_std,cmp_pct_mean,td_rate_mean,int_rate_mean,epa_min,epa_max,att_cv,epa_cv,epa_per_att_cv,games_positive_epa,pct_games_positive_epa
00-0023436,2020,8,31.5,13.103979766249859,-4.08598370375,10.844471441240444,-0.2671949260060327,0.466381618339374,5.786460189826158,2.4862222415156583,0.6454444701801765,0.024243833612040133,0.03591788967611336,-20.42017,16.134172,0.4159993576587257,2.6540662487928413,1.7454733340589115,3.0,0.375
00-0023459,2018,16,37.3125,12.381269455646839,3.3011311,6.075143328045226,0.03294062352148645,0.29055939879459314,7.423916727126093,1.7657436948560725,0.6244700505878937,0.04174704745246328,0.003050595238095238,-5.2512136,15.912008,0.331826317069262,1.8403217394320468,8.820701241586018,11.0,0.6875
00-0023459,2019,18,35.27777777777778,7.759666120436728,4.5239835500000005,11.48329736642413,0.1326492928094333,0.3531380604481358,7.289673270251672,2.2419693830949297,0.6323607225015712,0.04864892183432426,0.007720712201844278,-18.084644,31.815393,0.21995903963442695,2.538315455727979,2.6621933141811858,11.0,0.6111111111111112
00-0023459,2020,18,33.888888888888886,6.076849889141856,11.746892927777777,10.008546627086709,0.36217259993981143,0.3229245166596026,8.163424019842328,1.528245541659924,0.7062075790201169,0.09035773475380374,0.009650208036430945,-15.289743,25.907597,0.17931688197467774,0.8520165024590958,0.8916315500213672,16.0,0.8888888888888888
00-0023459,2021,17,32.94117647058823,6.485277444289624,7.5692836,9.03699794061567,0.22911510653513809,0.29665533251492726,7.781194812746905,1.6676375913234,0.6943248030885707,0.06851961932873372,0.007299801417448476,-15.949715,23.260366,0.19687449384450645,1.1939039964912492,1.2947873101917482,15.0,0.8823529411764706
00-0023459,2022,17,31.88235294117647,7.557135311587789,-0.3711731776470587,6.676628416365565,0.01343814948912776,0.20837545859245002,7.063369101188094,1.519825851105533,0.6518877044623402,0.05375978173777167,0.02419656216979956,-13.293249,11.532071,0.23703191936714468,17.987906504155426,15.506261391201058,11.0,0.6470588235294118
00-0023459,2023,1,1.0,,-2.0319598,,-2.0319598,,0.0,,0.0,0.0,0.0,-2.0319598,-2.0319598,,,,0.0,0.0
00-0023534,2019,1,1.0,,-2.3052912,,-2.3052912,,0.0,,0.0,0.0,0.0,-2.3052912,-2.3052912,,,,0.0,0.0
00-0023645,2018,2,35.0,5.656854249492381,-19.2988935,4.923166617294248,-0.5702118200992555,0.2328220507123859,6.540529363110009,1.2662416718518403,0.6046319272125724,0.0,0.061207609594706364,-22.780098,-15.817689,0.16162440712835374,0.25510097857653075,0.4083080050354955,0.0,0.0
00-0023662,2018,2,8.5,3.5355339059327378,-7.9834898,0.07197102524544122,-1.0301044136363635,0.4369341301538548,3.212121212121212,1.2427937366309016,0.3939393939393939,0.0,0.08333333333333333,-8.034381,-7.9325986,0.4159451654038515,0.009014983052328972,0.42416489471337865,0.0,0.0
00-0023682,2018,8,30.75,12.418304462135147,7.446027775,12.674104733874564,0.25485163447018094,0.5288890291560062,9.894728579347483,3.139437082741556,0.6659849804666877,0.06967532467532467,0.04843702706507584,-8.175059,29.170437,0.4038472995816308,1.7021296611903336,2.075282076395273,6.0,0.75
00-0023682,2019,15,33.46666666666667,12.182344758277194,1.6877702093333333,11.882058171232767,0.07447521539325903,0.5474056940017601,7.368688722635687,2.387598373313302,0.6400372816525787,0.03593770282188627,0.027881250862995286,-31.65814,18.073566,0.3640142856058922,7.040092368928684,7.35017268646003,9.0,0.6
00-0023682,2020,9,29.666666666666668,11.937336386313323,5.176357655555555,9.402991065887871,0.23568970978637768,0.41287773310684733,8.334356414971072,2.8515521588179378,0.699713945104016,0.0543346986609398,0.030452674897119343,-8.427611,23.528559,0.40238212538134793,1.8165265407802835,1.7517851478584607,7.0,0.7777777777777778
00-0023682,2021,1,6.0,,-4.274623,,-0.7124371666666667,,2.1666666666666665,,0.5,0.0,0.0,-4.274623,-4.274623,,,,0.0,0.0
00-0023853,2018,1,1.0,,4.0709276,,4.0709276,,8.0,,1.0,1.0,0.0,4.0709276,4.0709276,,,,1.0,1.0
00-0024417,2018,1,1.0,,4.4907236,,4.4907236,,21.0,,1.0,0.0,0.0,4.4907236,4.4907236,,,,1.0,1.0
00-0024417,2019,1,1.0,,-2.6248016,,-2.6248016,,-2.0,,1.0,0.0,0.0,-2.6248016,-2.6248016,,,,0.0,0.0
00-0024417,2020,1,1.0,,3.3933275,,3.3933275,,15.0,,1.0,0.0,0.0,3.3933275,3.3933275,,,,1.0,1.0
00-0024417,2021,1,1.0,,-2.7787173,,-2.7787173,,0.0,,0.0,0.0,0.0,-2.7787173,-2.7787173,,,,0.0,0.0
00-0025708,2019,4,22.75,16.45954636879968,1.7497542950000002,4.43520451070075,-0.04255485203111947,0.22856340388751217,5.357926065162907,3.643799255036555,0.47681704260651625,0.03418964076858814,0.0,-2.9121602,7.4008927,0.7234965436835024,2.5347584648739208,5.371030399080428,2.0,0.5
00-0025825,2019,3,1.0,0.0,1.8128108333333335,3.453525332757541,1.8128108333333335,3.453525332757541,13.0,14.106735979665885,0.6666666666666666,0.0,0.0,-2.171806,3.94281,0.0,1.9050665790689914,1.9050665790689914,2.0,0.6666666666666666
00-0025825,2020,1,1.0,,-1.8763287,,-1.8763287,,0.0,,0.0,0.0,0.0,-1.8763287,-1.8763287,,,,0.0,0.0
00-0026035,2018,1,1.0,,2.5017896,,2.5017896,,28.0,,1.0,1.0,0.0,2.5017896,2.5017896,,,,1.0,1.0
00-0026035,2019,1,1.0,,1.9585356,,1.9585356,,19.0,,1.0,1.0,0.0,1.9585356,1.9585356,,,,1.0,1.0
00-0026035,2021,1,1.0,,-0.36169755,,-0.36169755,,0.0,,0.0,0.0,0.0,-0.36169755,-0.36169755,,,,0.0,0.0
00-0026143,2018,16,38.0,7.220341635499897,7.6537897,10.304645892239918,0.19620388067029443,0.2946071808887444,8.154406553923117,1.7564432371525347,0.6919750824239287,0.05989442605419774,0.011406940383051126,-12.8366995,19.785025,0.19000899040789201,1.3463455746948363,1.5015359527154775,13.0,0.8125
00-0026143,2019,15,41.06666666666667,7.923443214976201,1.3647021866666667,12.051795220734224,0.04955872556814367,0.33726884132361673,7.337242522137547,1.6273094668967543,0.6638433455020976,0.04394307113169437,0.022412575890559196,-16.7606,21.298214,0.1929409873776672,8.831080757752106,6.80543814347827,8.0,0.5333333333333333
00-0026143,2020,16,39.125,5.998610950322861,4.2756808625,11.4475481447103,0.10800990813287138,0.2999210451877548,7.329532399140012,1.2661826131414478,0.6490744803802839,0.040998919778877485,0.01920069853869196,-15.592277,30.441586,0.1533191297207121,2.677362626643022,2.776791966333298,10.0,0.625
