gsis_id,season,carries,rushing_yards,rushing_tds,rushing_epa,rushing_first_downs,rushing_fumbles,rushing_fumbles_lost,games,ryoe_total,ryoe_per_att,rush_pct_oe,pct_box_8plus,avg_time_to_los,ngs_efficiency,display_name,position,birth_date,rookie_season,draft_round,draft_pick,has_ngs,age,age_c,age_c2,experience,log_carries,rushing_epa_per_att,rushing_epa_lag1,carries_lag1,log_carries_lag1,ryoe_per_att_lag1,rushing_epa_per_att_lag1,pct_box_8plus_lag1,delta_rushing_epa,delta_carries,delta_ryoe_per_att
00-0032764,2017,176,744.0,5,-14.01303294817223,39.0,1.0,0.0,16,,0.6520637981512571,,50.0,2.99298,4.332930107526883,Derrick Henry,RB,1994-01-04,2016,2.0,45.0,0,23.65776865160849,-1.824798891444825,3.329890994218262,1,5.170483995038151,-0.07961950538734221,-0.2933482906082645,110.0,4.700480365792417,0.6520637981512571,-0.0026668026418933135,52.72727272727272,-13.719684657563965,66.0,0.0
00-0032764,2018,215,1059.0,12,10.60093585748109,51.0,0.0,0.0,16,236.02584483222302,1.1081025578977606,0.47417840375586856,33.48837209302326,2.9210609137055843,3.728508026440037,Derrick Henry,RB,1994-01-04,2016,2.0,45.0,1,24.657084188911703,-0.8254833541416104,0.6814227679648834,2,5.3706380281276624,0.04930667840688879,-14.01303294817223,176.0,5.170483995038151,0.6520637981512571,-0.07961950538734221,50.0,24.61396880565332,39.0,0.45603875974650343
00-0032764,2019,303,1540.0,16,-3.9890664564445615,73.0,5.0,3.0,15,325.7053400259417,1.1309213195345198,0.4201388888888889,35.31353135313531,2.7227269372693716,3.4529480519480513,Derrick Henry,RB,1994-01-04,2016,2.0,45.0,1,25.65639972621492,0.17383218316160765,0.03021762790273071,3,5.713732805509369,-0.013165235829850038,10.60093585748109,215.0,5.3706380281276624,1.1081025578977606,0.04930667840688879,33.48837209302326,-14.590002313925652,88.0,0.02281876163675922
00-0032764,2020,378,2027.0,17,33.64543990973246,98.0,3.0,2.0,16,367.0793712096322,0.9974982913305223,0.4266304347826087,27.77777777777778,2.7594225352112662,3.569768130241737,Derrick Henry,RB,1994-01-04,2016,2.0,45.0,1,26.65845311430527,1.175885571251957,1.382706876678541,4,5.934894195619588,0.08900910029029752,-3.9890664564445615,303.0,5.713732805509369,1.1309213195345198,-0.013165235829850038,35.31353135313531,37.63450636617702,75.0,-0.13342302820399754
00-0032764,2021,219,937.0,10,-5.895254133014081,49.0,1.0,0.0,8,24.77195892801501,0.11415649275582954,0.3640552995391705,36.5296803652968,2.7632474747474745,3.8752721451440766,Derrick Henry,RB,1994-01-04,2016,2.0,45.0,1,27.65776865160849,2.175201108555175,4.731499862659662,5,5.389071729816501,-0.026918968643899914,33.64543990973246,378.0,5.934894195619588,0.9974982913305223,0.08900910029029752,27.77777777777778,-39.54069404274654,-159.0,-0.8833417985746927
00-0032764,2022,349,1538.0,13,-22.311296168132685,65.0,4.0,2.0,16,87.20895460260931,0.2564969253017921,0.40294117647058825,38.108882521489974,2.6969841269841277,3.8450260078023404,Derrick Henry,RB,1994-01-04,2016,2.0,45.0,1,28.657084188911703,3.1745166458583896,10.077555934832,6,5.855071922202427,-0.063929215381469,-5.895254133014081,219.0,5.389071729816501,0.11415649275582954,-0.026918968643899914,36.5296803652968,-16.416042035118604,130.0,0.14234043254596254
00-0032764,2023,280,1167.0,12,-2.0985031590381666,63.0,0.0,0.0,17,83.62677337187051,0.30520720208711866,0.40145985401459855,35.35714285714286,2.801296442687748,3.9126306769494414,Derrick Henry,RB,1994-01-04,2016,2.0,45.0,1,29.65639972621492,4.173832183161608,17.42087509319559,7,5.634789603169249,-0.007494654139422023,-22.311296168132685,349.0,5.855071922202427,0.2564969253017921,-0.063929215381469,38.108882521489974,20.21279300909452,-69.0,0.04871027678532658
00-0032780,2016,252,1313.0,6,-1.0587763959920267,70.0,1.0,1.0,15,,-0.26889489915554693,,27.77777777777778,2.7219004329004335,3.616641279512565,Jordan Howard,RB,1994-11-02,2016,5.0,150.0,0,21.831622176591377,-3.6509453664619365,13.329402068889884,0,5.529429087511423,-0.004201493634888994,,,,,,,,,
00-0032780,2017,276,1122.0,9,-14.770301129910518,61.0,1.0,1.0,16,,-0.26889489915554693,,43.11594202898551,2.9976853448275858,4.654429590017826,Jordan Howard,RB,1994-11-02,2016,5.0,150.0,0,22.830937713894592,-2.651629829158722,7.031140750884313,1,5.62040086571715,-0.05351558380402362,-1.0587763959920267,252.0,5.529429087511423,-0.26889489915554693,-0.004201493634888994,27.77777777777778,-13.711524733918491,24.0,0.0
00-0032780,2018,250,935.0,9,-25.161630174948463,53.0,2.0,1.0,16,-112.67666765602394,-0.4543414018388062,0.3346774193548387,14.000000000000002,2.5172699115044255,3.7011443850267396,Jordan Howard,RB,1994-11-02,2016,5.0,150.0,1,23.83025325119781,-1.6523142918555038,2.730142519069955,2,5.521460917862246,-0.10064652069979385,-14.770301129910518,276.0,5.62040086571715,-0.26889489915554693,-0.05351558380402362,43.11594202898551,-10.391329045037946,-26.0,-0.1854465026832593
